Date,ITOT,IVV,QQQ,VTI,IJR,VPL,VWO,SUSA,HYEM,MGV
2012-12-31 00:00:00-05:00,26.882917404174805,118.86228942871094,59.43409729003906,61.16685485839844,34.00749969482422,40.939002990722656,33.55928421020508,25.688390731811523,14.847135543823242,33.19349670410156
2013-01-02 00:00:00-05:00,27.528701782226562,121.76036071777344,61.323062896728516,62.71940231323242,34.96981430053711,41.83614730834961,34.267704010009766,26.39847183227539,14.874659538269043,34.05698776245117
2013-01-03 00:00:00-05:00,27.51214027404785,121.60256958007812,61.0036735534668,62.62760925292969,34.952396392822266,41.49110794067383,34.06422805786133,26.545686721801758,14.940720558166504,34.00254440307617
2013-01-04 00:00:00-05:00,27.657028198242188,122.2004623413086,60.80289077758789,62.944766998291016,35.17881393432617,41.49110794067383,34.12451934814453,26.571666717529297,14.99577522277832,34.2281379699707
2013-01-07 00:00:00-05:00,27.557674407958984,121.8184585571289,60.82115173339844,62.77781677246094,35.013362884521484,41.253387451171875,33.830596923828125,26.45909309387207,15.050825119018555,34.103668212890625
2013-01-08 00:00:00-05:00,27.4873046875,121.486328125,60.70252227783203,62.610877990722656,34.939327239990234,40.80097579956055,33.551753997802734,26.389812469482422,15.067337989807129,33.98698043823242
2013-01-09 00:00:00-05:00,27.565959930419922,121.81010437011719,60.93065643310547,62.8028678894043,35.11785125732422,41.21505355834961,33.74769973754883,26.498058319091797,15.061827659606934,34.07254409790039
2013-01-10 00:00:00-05:00,27.748104095458984,122.73187255859375,61.29566955566406,63.23693084716797,35.1657600402832,41.59844207763672,34.04916000366211,26.601972579956055,15.061827659606934,34.36038589477539
2013-01-11 00:00:00-05:00,27.76051902770996,122.78997802734375,61.37782287597656,63.245277404785156,35.13527297973633,41.52177047729492,33.79290771484375,26.640939712524414,14.924208641052246,34.352603912353516
2013-01-14 00:00:00-05:00,27.698429107666016,122.68206024169922,61.104034423828125,63.17848205566406,35.113502502441406,41.667457580566406,33.92856979370117,26.6452693939209,15.0012845993042,34.368167877197266
2013-01-15 00:00:00-05:00,27.777088165283203,122.73187255859375,60.80289077758789,63.29534149169922,35.26155471801758,41.69047164916992,33.80044174194336,26.71021842956543,15.023301124572754,34.48484802246094
2013-01-16 00:00:00-05:00,27.772945404052734,122.68206024169922,61.04928970336914,63.245277404785156,35.187530517578125,41.460426330566406,33.740150451660156,26.640939712524414,15.017794609069824,34.43039321899414
2013-01-17 00:00:00-05:00,27.9633731842041,123.51246643066406,61.34130096435547,63.679317474365234,35.58814239501953,41.667457580566406,33.973785400390625,26.89206314086914,15.056327819824219,34.61709213256836
2013-01-18 00:00:00-05:00,28.03373908996582,123.8363037109375,61.204437255859375,63.85458755493164,35.7187614440918,41.7364616394043,34.011470794677734,26.8574275970459,15.067337989807129,34.718223571777344
2013-01-22 00:00:00-05:00,28.182775497436523,124.44253540039062,61.30481719970703,64.18848419189453,35.984378814697266,41.55243682861328,33.98131561279297,26.995973587036133,15.083864212036133,34.88157272338867
2013-01-23 00:00:00-05:00,28.211750030517578,124.67500305175781,61.678924560546875,64.26359558105469,35.88423156738281,41.38373947143555,33.76275634765625,27.043607711791992,15.111384391784668,34.89714050292969
2013-01-24 00:00:00-05:00,28.248998641967773,124.70821380615234,60.830291748046875,64.33873748779297,36.115020751953125,41.67512893676758,33.664791107177734,27.05660057067871,15.105878829956055,35.03716278076172
2013-01-25 00:00:00-05:00,28.377338409423828,125.32270812988281,61.14054870605469,64.6976547241211,36.31966018676758,41.882164001464844,33.58189010620117,27.22545623779297,15.100372314453125,35.254981994628906
2013-01-28 00:00:00-05:00,28.398029327392578,125.32270812988281,61.277435302734375,64.63921356201172,36.29787826538086,41.46809387207031,33.33319854736328,27.22545623779297,15.083864212036133,35.20052719116211
2013-01-29 00:00:00-05:00,28.480825424194336,125.73792266845703,61.28654861450195,64.8562240600586,36.3152961730957,41.96650314331055,33.72509002685547,27.355350494384766,15.07284927368164,35.511695861816406
2013-01-30 00:00:00-05:00,28.33179473876953,125.27288818359375,61.15879821777344,64.59748840332031,35.87986755371094,42.12753677368164,33.551753997802734,27.307720184326172,15.067337989807129,35.348331451416016
2013-01-31 00:00:00-05:00,28.31524085998535,124.94075012207031,61.02193069458008,64.48063659667969,35.984378814697266,42.211883544921875,33.58189010620117,27.24711036682129,15.03980827331543,35.2783088684082
2013-02-01 00:00:00-05:00,28.584325790405273,126.24446105957031,61.742835998535156,65.1066665649414,36.38933563232422,42.19654846191406,33.8079833984375,27.502567291259766,15.032066345214844,35.59725570678711
2013-02-04 00:00:00-05:00,28.26969337463379,124.86599731445312,60.66603469848633,64.42219543457031,35.96260070800781,42.05852508544922,33.370880126953125,27.216798782348633,14.998875617980957,35.247196197509766
2013-02-05 00:00:00-05:00,28.542924880981445,126.020263671875,61.560302734375,65.03154754638672,36.28483581542969,42.02019500732422,33.46885299682617,27.485240936279297,14.976750373840332,35.56614303588867
2013-02-06 00:00:00-05:00,28.5718936920166,126.18632507324219,61.35955810546875,65.14838409423828,36.45899963378906,42.34990310668945,33.38595962524414,27.50688934326172,14.965665817260742,35.58948516845703
2013-02-07 00:00:00-05:00,28.538782119750977,126.03691864013672,61.41431427001953,65.03154754638672,36.38933563232422,42.26554489135742,33.11464309692383,27.528535842895508,14.921420097351074,35.4805793762207
2013-02-08 00:00:00-05:00,28.687816619873047,126.67626953125,62.04397964477539,65.42385864257812,36.62009811401367,42.43425369262695,33.37841033935547,27.658432006835938,15.021004676818848,35.58948516845703
